id,brand,model,year,price_idr,specs,description
1,Toyota,Avanza,2024,250000000,"1.5L, 4-cylinder, manual/automatic, 7-seater","Mobil keluarga 7 penumpang dengan konsumsi bahan bakar irit dan harga terjangkau"
2,Honda,Brio,2023,180000000,"1.2L engine, CVT, compact hatchback","City car kecil yang cocok untuk penggunaan harian di perkotaan dengan efisiensi tinggi"
3,Mitsubishi,Xpander,2024,280000000,"1.5L engine, automatic, spacious interior","Mobil MPV dengan kabin luas dan nyaman untuk perjalanan keluarga jauh"
4,Suzuki,Ertiga,2023,240000000,"1.5L hybrid engine, manual/automatic","Mobil hybrid hemat bahan bakar dengan fitur modern dan ramah lingkungan"
5,Toyota,Innova Zenix,2024,420000000,"2.0L hybrid, automatic, captain seat","MPV premium dengan teknologi hybrid dan kenyamanan tinggi"
6,Daihatsu,Ayla,2023,150000000,"1.0L engine, manual, compact","Mobil LCGC murah dan irit bahan bakar untuk penggunaan sehari-hari"
7,Honda,HR-V,2024,375000000,"1.5L turbo, CVT, SUV","SUV stylish dengan performa tinggi dan fitur keselamatan lengkap"
8,Toyota,Feruza,2022,200000000,"1.5L engine, manual, SUV compact","SUV lama dengan harga terjangkau cocok untuk off-road ringan"
9,Wuling,Air EV,2024,300000000,"Electric motor, battery 26 kWh","Mobil listrik kecil yang cocok untuk mobilitas dalam kota"
10,Hyundai,Ioniq 5,2024,750000000,"Electric, 58 kWh battery, fast charging","Mobil listrik modern dengan teknologi canggih dan jarak tempuh jauh"
11,Kia,Sonet,2023,320000000,"1.5L engine, automatic, compact SUV","SUV kompak dengan desain modern dan fitur lengkap"
12,Nissan,Livina,2023,260000000,"1.5L engine, automatic, MPV","MPV keluarga dengan kenyamanan tinggi dan konsumsi BBM efisien"
13,Toyota,Rush,2023,270000000,"1.5L engine, SUV, manual/automatic","SUV 7-seater dengan ground clearance tinggi untuk jalanan Indonesia"
14,Mazda,CX-5,2024,600000000,"2.5L engine, automatic, premium SUV","SUV premium dengan desain elegan dan performa tinggi"
15,BMW,X1,2024,850000000,"2.0L turbo, automatic, luxury SUV","SUV mewah dengan performa tinggi dan teknologi canggih"
16,Mercedes-Benz,C-Class,2024,1200000000,"2.0L turbo, automatic, sedan","Sedan premium dengan kenyamanan dan fitur teknologi terbaik"
17,Tesla,Model 3,2024,900000000,"Electric, autopilot, long range battery","Mobil listrik dengan teknologi autopilot dan performa tinggi"
18,Hyundai,Creta,2023,350000000,"1.5L engine, IVT, SUV","SUV modern dengan fitur keselamatan dan kenyamanan lengkap"
19,Suzuki,XL7,2023,300000000,"1.5L hybrid, SUV, 7-seater","SUV hybrid dengan kapasitas besar dan efisiensi bahan bakar"
20,Daihatsu,Terios,2023,260000000,"1.5L engine, SUV, manual/automatic","SUV terjangkau dengan performa cukup untuk kebutuhan keluarga"